device_id,text_path,total_words,tech_stat_terms_count,bio_label_terms_count,structural_social_terms_count,structural_core_count,mismatch_numerator,mismatch_denominator,mismatch_metric,mismatch_metric_is_inf,mismatch_metric_safe
K250507,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250507.txt,5488,24,0,11,0,24,11,2.1818181818181817,0,2.181818
K232496,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232496.txt,5320,19,0,9,0,19,9,2.111111111111111,0,2.111111
K192320,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K192320.txt,2830,21,0,10,0,21,10,2.1,0,2.100000
K232237,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232237.txt,4934,25,0,12,0,25,12,2.0833333333333335,0,2.083333
K252366,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K252366.txt,4628,31,0,15,0,31,15,2.066666666666667,0,2.066667
K210187,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K210187.txt,2406,10,0,5,0,10,5,2.0,0,2.000000
K221241,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K221241.txt,3411,18,0,9,0,18,9,2.0,0,2.000000
K223287,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223287.txt,2266,8,0,4,0,8,4,2.0,0,2.000000
K231068,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231068.txt,8683,16,0,8,0,16,8,2.0,0,2.000000
K232699,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232699.txt,3825,14,0,7,0,14,7,2.0,0,2.000000
K240301,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240301.txt,5054,12,0,6,0,12,6,2.0,0,2.000000
K241390,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241390.txt,4842,12,0,6,0,12,6,2.0,0,2.000000
K242270,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242270.txt,4019,16,0,8,0,16,8,2.0,0,2.000000
K242600,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242600.txt,3931,16,0,8,0,16,8,2.0,0,2.000000
K243862,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243862.txt,2831,12,0,6,0,12,6,2.0,0,2.000000
K250248,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250248.txt,3662,14,0,7,0,14,7,2.0,0,2.000000
K222579,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222579.txt,3071,19,0,10,0,19,10,1.9,0,1.900000
K230751,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230751.txt,6384,15,0,8,0,15,8,1.875,0,1.875000
K250221,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250221.txt,5346,13,0,7,0,13,7,1.8571428571428572,0,1.857143
K252284,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K252284.txt,3533,13,0,7,0,13,7,1.8571428571428572,0,1.857143
K182218,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K182218.txt,3910,11,0,6,0,11,6,1.8333333333333333,0,1.833333
K220709,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220709.txt,3738,11,0,6,0,11,6,1.8333333333333333,0,1.833333
K230144,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230144.txt,2886,11,0,6,0,11,6,1.8333333333333333,0,1.833333
K250264,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250264.txt,2646,11,0,6,0,11,6,1.8333333333333333,0,1.833333
K251293,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251293.txt,3558,22,0,12,0,22,12,1.8333333333333333,0,1.833333
K240058,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240058.txt,4667,20,0,11,0,20,11,1.8181818181818181,0,1.818182
K223347,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223347.txt,4711,9,0,5,0,9,5,1.8,0,1.800000
K232410,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232410.txt,3114,9,0,5,0,9,5,1.8,0,1.800000
K241480,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241480.txt,3355,9,0,5,0,9,5,1.8,0,1.800000
K250151,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250151.txt,4143,18,0,10,0,18,10,1.8,0,1.800000
K211803,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K211803.txt,2891,16,0,9,0,16,9,1.7777777777777777,0,1.777778
K243614,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243614.txt,3996,16,0,9,0,16,9,1.7777777777777777,0,1.777778
K092967,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K092967.txt,6245,7,0,4,0,7,4,1.75,0,1.750000
