device_id,has_race_token,has_ethnicity_token,has_race_or_ethnicity,has_racial_or_ethnic_adj,has_race_ethnicity_phrase,has_demographic_token,fda1_style_table_proxy
K203235,False,False,False,False,False,False,False
K203256,False,False,False,False,False,False,False
K203258,False,False,False,False,False,False,False
K203260,False,False,False,False,False,False,False
K203280,False,False,False,False,False,False,False
K203314,False,False,False,False,False,False,False
K203323,False,False,False,False,False,False,False
K203329,False,False,False,False,False,False,False
K203443,False,False,False,False,False,False,False
K203448,False,False,False,False,False,False,False
K203469,False,False,False,False,False,False,False
K203502,False,False,False,False,False,False,False
K203508,False,False,False,False,False,False,False
K203514,False,False,False,False,False,False,False
K203517,False,False,False,False,False,False,False
K203555,False,False,False,False,False,False,False
K203578,False,False,False,False,False,False,False
K203582,False,False,False,False,False,False,False
K203610,False,False,False,False,False,False,False
K203617,False,False,False,False,False,False,False
K203629,False,False,False,False,False,False,False
K203696,False,False,False,False,False,False,False
K203744,False,False,False,False,False,False,False
K203783,False,False,False,False,False,False,False
K203785,False,False,False,False,False,False,False
K203822,False,False,False,False,False,False,False
K210001,False,False,False,False,False,False,False
K210034,False,False,False,False,False,True,False
K210053,False,False,False,False,False,False,False
K210069,False,False,False,False,False,False,False
K210071,False,False,False,False,False,False,False
K210085,False,False,False,False,False,False,False
K210187,False,True,True,False,False,True,False
K210209,False,False,False,False,False,False,False
K210237,False,False,False,False,False,False,False
K210365,False,False,False,False,False,False,False
K210404,False,False,False,False,False,False,False
K210426,False,False,False,False,False,False,False
K210438,False,False,False,False,False,False,False
K210458,False,False,False,False,False,False,False
K210484,False,False,False,False,False,False,False
K210543,False,False,False,False,False,False,False
K210556,False,False,False,False,False,False,False
K210611,False,False,False,False,False,False,False
K210632,False,False,False,False,False,False,False
K210645,False,False,False,False,False,False,False
K210666,False,False,False,False,False,False,False
K210670,False,False,False,False,False,True,False
K210719,False,False,False,False,False,True,False
K210747,False,False,False,False,False,False,False
K210760,False,False,False,False,False,False,False
K210791,False,False,False,False,False,True,False
K210807,False,False,False,False,False,False,False
K210822,False,False,False,False,False,False,False
K210831,False,False,False,False,False,False,False
K210999,False,False,False,False,False,False,False
K211118,False,False,False,False,False,False,False
K211161,False,False,False,False,False,False,False
K211179,False,False,False,False,False,False,False
K211222,False,False,False,False,False,False,False
K211279,False,False,False,False,False,False,False
K211326,False,False,False,False,False,False,False
K211379,False,False,False,False,False,False,False
K211431,False,False,False,False,False,True,False
K211443,False,False,False,False,False,True,False
K211459,False,False,False,False,False,False,False
K211506,False,False,False,False,False,False,False
K211541,False,False,False,False,False,False,False
K211597,False,False,False,False,False,False,False
K211611,False,False,False,False,False,True,False
K211655,False,False,False,False,False,False,False
K211678,False,False,False,False,False,False,False
K211733,False,False,False,False,False,False,False
K211764,False,False,False,False,False,False,False
K211788,False,False,False,False,False,False,False
K211803,False,False,False,False,False,False,False
K211824,False,False,False,False,False,False,False
K211828,False,False,False,False,False,False,False
K211841,False,False,False,False,False,False,False
K211846,False,False,False,False,False,False,False
K211867,False,False,False,False,False,False,False
K211881,False,False,False,False,False,False,False
K211906,False,False,False,False,False,False,False
K211945,False,False,False,False,False,False,False
K211951,False,False,False,False,False,False,False
K211964,False,False,False,False,False,False,False
K211966,False,False,False,False,False,True,False
K211980,False,False,False,False,False,False,False
K212005,False,False,False,False,False,False,False
K212012,False,False,False,False,False,False,False
K212067,False,False,False,False,False,False,False
K212074,False,False,False,False,False,False,False
K212100,False,False,False,False,False,False,False
K212116,False,False,False,False,False,False,False
K212218,False,False,False,False,False,False,False
K212219,False,False,False,False,False,False,False
K212230,False,False,False,False,False,False,False
K212261,False,False,False,False,False,False,False
K212265,False,False,False,False,False,False,False
K212269,False,False,False,False,False,False,False
K212274,False,False,False,False,False,False,False
