device_id,raw_token_count,filtered_token_count,unique_filtered
K241390,3689,2060,609
K241429,2730,1465,580
K241430,2443,1279,595
K241439,3479,1929,617
K241440,2912,1562,602
K241480,2500,1224,602
K241481,3112,1682,649
K241490,2736,1416,553
K241496,2200,1160,522
K241508,2338,1224,463
K241543,2138,1100,524
K241546,1769,784,422
K241561,3591,1985,693
K241582,3282,1830,625
K241585,2694,1413,623
K241593,2785,1426,582
K241596,2091,1001,494
K241620,3072,1656,625
K241633,2270,1218,535
K241659,5530,3225,901
K241665,2210,1133,530
K241671,2362,1220,614
K241676,7998,5342,1141
K241681,1612,725,370
K241684,2087,939,432
K241696,2347,1198,534
K241719,2944,1547,629
K241725,3901,2166,782
K241727,2799,1431,611
K241747,2339,1136,555
K241770,5086,2916,926
K241831,2896,1520,627
K241837,4981,3178,783
K241847,1742,835,430
K241887,2556,1315,590
K241891,3483,1873,748
K241922,2416,1231,513
K241923,2578,1292,587
K241949,2463,1341,596
K241960,3155,1798,599
K241961,1826,841,489
K241971,4061,2281,690
K241982,1834,867,513
K241984,2738,1523,617
K242005,2206,1217,587
K242020,2932,1494,504
K242054,1625,727,417
K242062,1715,795,462
K242094,2379,1149,551
K242123,3699,1994,757
K242129,3945,2172,672
K242130,7956,4709,1210
K242166,3680,2005,784
K242168,4090,2274,832
K242171,4244,2495,773
K242188,2686,1441,594
K242203,2709,1404,564
K242215,2152,1144,517
K242240,3008,1549,644
K242270,3084,1556,684
K242275,2439,1236,609
K242292,2672,1349,595
K242295,1735,811,440
K242300,1801,791,452
K242323,2424,1292,594
K242334,2020,980,467
K242338,2113,998,523
K242342,2706,1488,568
K242359,1592,691,414
K242362,2801,1398,577
K242388,2084,1186,447
K242403,2260,1166,505
K242437,4001,2265,741
K242444,3139,1693,614
K242447,3174,1726,656
K242461,2598,1290,552
K242467,2555,1309,574
K242480,2541,1239,540
K242488,3408,1895,756
K242500,2810,1496,653
K242511,4253,2334,674
K242522,2915,1569,681
K242523,3946,2298,687
K242551,3990,2065,738
K242583,4005,2087,793
K242594,2934,1652,742
K242600,2877,1589,661
K242607,2537,1411,604
K242624,5479,3080,683
K242652,2064,1060,436
K242683,3055,1700,641
K242729,3874,2366,835
K242737,4334,2266,709
K242745,3635,1979,697
K242748,3950,2265,778
K242781,5421,3230,795
K242798,2329,1204,512
K242800,5006,3218,1079
K242807,5281,2963,938
K242821,2721,1407,591
K242822,2458,1200,497
K242825,968,380,265
K242830,2506,1503,468
K242837,2967,1523,633
K242838,2851,1627,780
K242919,2832,1532,614
K242925,3625,1859,675
K242967,3359,1757,653
K242994,2792,1489,621
K243005,2137,1005,534
K243038,2326,1195,560
K243042,4292,2578,775
K243065,2373,1140,578
K243122,4033,2189,800
K243144,2481,1300,539
K243145,2161,1042,518
K243158,2919,1480,576
K243189,2715,1470,591
K243209,2279,1062,574
K243229,2664,1271,493
K243230,2679,1404,545
K243234,2829,1556,667
K243235,1823,854,449
K243239,2498,1311,617
K243250,3886,2110,805
K243253,2806,1520,652
K243268,2729,1570,618
K243292,2420,1221,557
K243294,5142,2873,865
K243331,1661,762,418
K243335,2633,1395,633
K243341,2814,1499,603
K243350,2954,1677,701
K243363,2661,1381,641
K243376,3410,1782,712
K243378,1932,914,463
K243397,5399,3057,966
K243446,2348,1173,571
K243449,3294,1778,708
K243481,3462,1919,585
K243523,9276,5994,1099
K243538,2130,1016,471
K243547,9542,5498,1232
K243548,2776,1474,604
K243558,2110,965,466
K243567,3420,1712,610
K243611,2869,1526,693
K243614,2735,1475,603
K243617,3206,1718,540
K243620,2071,1119,596
K243628,2037,1062,556
K243633,5767,3641,858
K243647,1859,889,480
K243651,2390,1215,598
K243657,3357,1945,736
K243667,2695,1504,714
K243672,2836,1498,640
K243679,3001,1583,636
K243681,2651,1391,645
K243684,2710,1332,539
K243685,3029,1576,639
K243687,2341,1176,475
K243688,2000,937,493
K243689,1945,936,474
K243696,1597,691,404
K243702,2394,1251,587
K243705,1618,717,415
K243743,5579,3110,913
K243762,2958,1549,632
K243769,2367,1232,551
K243779,2317,1125,489
K243793,4307,2515,693
K243794,4501,2623,663
K243808,2865,1546,522
K243810,2335,1141,538
K243812,2867,1588,687
K243831,2502,1314,607
K243851,3864,2106,727
K243853,4355,2253,758
K243859,3077,1484,607
K243862,2126,1001,508
K243863,1812,923,474
K243866,1896,915,456
K243878,3369,1986,757
K243884,3583,1926,655
K243891,1883,881,449
K243893,2520,1312,579
K243919,1768,822,387
K243933,2197,1050,455
K243937,2188,1092,578
K243950,1759,830,437
